window,test_start,test_end,best_target_per_state,test_sharpe,test_max_dd,pct_invested
0,2020-08-06 11:00:00+00:00,2020-12-05 11:00:00+00:00,"{0: 0.2, 1: 0.4, 2: 0.8}",2.1316399129797428,0.1452446687430568,0.5716481866746141
1,2020-12-05 12:00:00+00:00,2021-03-05 18:00:00+00:00,"{0: 1.0, 1: 0.5, 2: 0.3}",4.752285039794399,0.1929344130317024,0.606249827122282
2,2021-03-05 19:00:00+00:00,2021-06-04 00:00:00+00:00,"{0: 0.2, 1: 0.6, 2: 0.9}",-0.2363590836050206,0.3407646811335781,0.6943182928907774
3,2021-06-04 01:00:00+00:00,2021-09-02 04:00:00+00:00,"{0: 0.7, 1: 0.2, 2: 0.2}",2.037005025378735,0.20225447340420977,0.5885760085097316
4,2021-09-02 05:00:00+00:00,2021-12-01 06:00:00+00:00,"{0: 0.8, 1: 0.2, 2: 0.2}",1.9091668574078222,0.17983674323857454,0.6333227788762591
5,2021-12-01 07:00:00+00:00,2022-03-01 06:00:00+00:00,"{0: 0.2, 1: 0.9, 2: 1.0}",-0.8236188506314899,0.43402467555581753,0.7637233599635579
6,2022-03-01 07:00:00+00:00,2022-05-30 06:00:00+00:00,"{0: 1.0, 1: 0.2, 2: 0.2}",-0.20970042346574644,0.22551934373676266,0.5105572720475235
7,2022-05-30 07:00:00+00:00,2022-08-28 06:00:00+00:00,"{0: 0.2, 1: 0.2, 2: 1.0}",-2.5580007269076455,0.517016961950713,0.6109221923465054
8,2022-08-28 07:00:00+00:00,2022-11-26 06:00:00+00:00,"{0: 0.2, 1: 0.5, 2: 0.2}",-0.9520132599615933,0.16629640018051134,0.6531755126250559
9,2022-11-26 07:00:00+00:00,2023-02-24 06:00:00+00:00,"{0: 1.0, 1: 0.6, 2: 0.2}",2.99883002269212,0.09585655350242386,0.9213349280737038
10,2023-02-24 07:00:00+00:00,2023-05-25 08:00:00+00:00,"{0: 0.2, 1: 0.2, 2: 0.7}",1.7134741290697295,0.12128422196765537,0.7279710231782921
11,2023-05-25 09:00:00+00:00,2023-08-23 08:00:00+00:00,"{0: 0.2, 1: 0.2, 2: 1.0}",0.7083946030036474,0.16875098469752875,0.8110826976614597
12,2023-08-23 09:00:00+00:00,2023-11-21 08:00:00+00:00,"{0: 0.2, 1: 0.2, 2: 1.0}",2.0929687499591325,0.1121529210693041,0.7950491914298707
13,2023-11-21 09:00:00+00:00,2024-02-19 08:00:00+00:00,"{0: 1.0, 1: 0.3, 2: 0.3}",3.1771855231657677,0.13042622683724606,0.7757233460521205
14,2024-02-19 09:00:00+00:00,2024-05-19 08:00:00+00:00,"{0: 1.0, 1: 1.0, 2: 0.2}",1.6759422602077823,0.16461598072743333,0.6133515286105768
15,2024-05-19 09:00:00+00:00,2024-09-17 08:00:00+00:00,"{0: 0.5, 1: 0.2, 2: 0.3}",-0.6393955878915862,0.17444876333461865,0.709636636085459
16,2024-09-17 09:00:00+00:00,2025-01-16 08:00:00+00:00,"{0: 0.5, 1: 0.2, 2: 0.2}",5.629924595503587,0.0919711160166104,0.6989012968779784
17,2025-01-16 09:00:00+00:00,2025-04-16 08:00:00+00:00,"{0: 0.9, 1: 0.2, 2: 0.2}",-1.291707914271131,0.16890464080257067,0.5864930967837154
18,2025-04-16 09:00:00+00:00,2025-07-15 08:00:00+00:00,"{0: 0.2, 1: 1.0, 2: 0.2}",4.1799266229326575,0.07758108056184969,0.6848683581268017
19,2025-07-15 09:00:00+00:00,2025-10-13 08:00:00+00:00,"{0: 1.0, 1: 1.0, 2: 1.0}",-0.1659226837403429,0.14240872612013922,1.0
20,2025-10-13 09:00:00+00:00,2026-01-11 08:00:00+00:00,"{0: 0.6, 1: 0.6, 2: 0.7}",-2.172327040374537,0.3339066242315666,0.9901820515332724
21,2026-01-11 09:00:00+00:00,2026-04-11 08:00:00+00:00,"{0: 0.8, 1: 0.2, 2: 0.2}",-2.588454682994999,0.25248498657076857,0.5552088322133663
22,2026-04-11 09:00:00+00:00,2026-07-10 08:00:00+00:00,"{0: 0.2, 1: 0.2, 2: 0.2}",-1.618280508559516,0.18877273169045733,0.5930655348159036
23,2026-07-10 09:00:00+00:00,2026-09-01 14:00:00+00:00,"{0: 0.2, 1: 1.0, 2: 0.2}",4.437236694591935,0.05209085189110503,0.755134420544774
