window,test_start,test_end,best_target_per_state,test_sharpe,test_max_dd,pct_invested
0,2020-08-06 11:00:00+00:00,2020-12-05 11:00:00+00:00,"{0: 0.2, 1: 0.3, 2: 0.8}",2.8064972825543295,0.1115896100214085,0.5493311131905078
1,2020-12-05 12:00:00+00:00,2021-03-05 18:00:00+00:00,"{0: 0.4, 1: 0.5, 2: 0.2}",4.7483688356738645,0.15748414373890018,0.46911114887605954
2,2021-03-05 19:00:00+00:00,2021-06-04 00:00:00+00:00,"{0: 0.3, 1: 0.2, 2: 0.5}",-0.9829893157408947,0.34572111610142253,0.5896003660205155
3,2021-06-04 01:00:00+00:00,2021-09-02 04:00:00+00:00,"{0: 0.7, 1: 0.2, 2: 0.2}",1.9733597828772909,0.19574930124573675,0.5811106347517695
4,2021-09-02 05:00:00+00:00,2021-12-01 06:00:00+00:00,"{0: 0.2, 1: 1.0, 2: 0.2}",1.4279633979485153,0.13759866734117493,0.5189533035611772
5,2021-12-01 07:00:00+00:00,2022-03-01 06:00:00+00:00,"{0: 0.2, 1: 0.2, 2: 0.9}",-1.4617394746754822,0.20080944079886057,0.43373271338409586
6,2022-03-01 07:00:00+00:00,2022-05-30 06:00:00+00:00,"{0: 0.2, 1: 1.0, 2: 0.2}",0.019150106539012463,0.18830172088360747,0.5224585918536488
7,2022-05-30 07:00:00+00:00,2022-08-28 06:00:00+00:00,"{0: 0.2, 1: 1.0, 2: 1.0}",-2.7455679726407554,0.5560161020073083,0.8030587732461655
8,2022-08-28 07:00:00+00:00,2022-11-26 06:00:00+00:00,"{0: 0.2, 1: 0.5, 2: 0.2}",-0.2754971820351487,0.12882484740680508,0.6571378085768573
9,2022-11-26 07:00:00+00:00,2023-02-24 06:00:00+00:00,"{0: 0.2, 1: 0.8, 2: 0.2}",4.76604749329755,0.06681995600963926,0.70819714150557
10,2023-02-24 07:00:00+00:00,2023-05-25 08:00:00+00:00,"{0: 1.0, 1: 0.6, 2: 0.7}",0.3020375209738628,0.17992950252190654,0.966288282215811
11,2023-05-25 09:00:00+00:00,2023-08-23 08:00:00+00:00,"{0: 0.2, 1: 0.5, 2: 1.0}",1.0680341088342908,0.17229162307561935,0.9001463835364032
12,2023-08-23 09:00:00+00:00,2023-11-21 08:00:00+00:00,"{0: 0.3, 1: 0.2, 2: 1.0}",2.705098003052426,0.1120282701894561,0.8649491116780418
13,2023-11-21 09:00:00+00:00,2024-02-19 08:00:00+00:00,"{0: 0.2, 1: 0.5, 2: 0.2}",6.408570792230604,0.0986729877556643,0.7023835128012934
14,2024-02-19 09:00:00+00:00,2024-05-19 08:00:00+00:00,"{0: 1.0, 1: 0.7, 2: 0.2}",1.8081788112282071,0.14849008097344624,0.5685011649118701
15,2024-05-19 09:00:00+00:00,2024-09-17 08:00:00+00:00,"{0: 0.2, 1: 0.5, 2: 0.2}",-0.5273501642511701,0.14829253684462046,0.6662053843063347
16,2024-09-17 09:00:00+00:00,2025-01-16 08:00:00+00:00,"{0: 0.7, 1: 0.2, 2: 0.2}",6.986525230458914,0.05632348489894151,0.6067573129885693
17,2025-01-16 09:00:00+00:00,2025-04-16 08:00:00+00:00,"{0: 1.0, 1: 0.2, 2: 0.6}",-1.4466655785259148,0.3183992923215461,0.805451128902508
18,2025-04-16 09:00:00+00:00,2025-07-15 08:00:00+00:00,"{0: 0.2, 1: 1.0, 2: 0.2}",4.4244887411569795,0.07629764664709876,0.6884423288735394
19,2025-07-15 09:00:00+00:00,2025-10-13 08:00:00+00:00,"{0: 1.0, 1: 0.2, 2: 0.2}",0.9813128655958604,0.08660739865908731,0.7134258366733948
20,2025-10-13 09:00:00+00:00,2026-01-11 08:00:00+00:00,"{0: 0.6, 1: 0.6, 2: 0.7}",-2.182059705083025,0.33390551535236135,0.9901644912468498
21,2026-01-11 09:00:00+00:00,2026-04-11 08:00:00+00:00,"{0: 0.3, 1: 0.2, 2: 0.2}",-2.567342162424023,0.23703135918364737,0.5321290140466869
22,2026-04-11 09:00:00+00:00,2026-07-10 08:00:00+00:00,"{0: 0.3, 1: 0.2, 2: 0.2}",-1.4722446003871825,0.20723338682766446,0.6903758493428778
23,2026-07-10 09:00:00+00:00,2026-09-01 14:00:00+00:00,"{0: 0.6, 1: 0.6, 2: 0.2}",1.9045652223487326,0.06535142343909867,0.9060967276657443
