symbol,n_test_bars,n_windows,cal_eta,bh_sharpe,hmm_sharpe,sharpe_delta,bh_max_dd,hmm_max_dd,p_hmm_beats_bh
COMP,269,3,0.5,0.5646969429696486,2.0855470087696193,1.5208500657999706,0.4452993299752575,0.13544383590842834,0.693
HIMS,299,4,1.0,-0.04451323129253913,1.2787032723753025,1.3232165036678416,0.7319770028139855,0.2574054255977306,0.978
MARA,630,4,2.0,-0.0013622664074599117,1.300823784013574,1.3021860504210339,1.2338390758778768,0.5177664322306348,0.885
RGTI,236,2,2.0,-0.2829417266638136,0.8447491919067409,1.1276909185705546,0.6524142768678489,0.13140836468377115,0.613
ALKS,995,5,0.5,0.34388411040123357,1.4034663322254914,1.0595822218242579,0.4142757377903193,0.25242216624086966,0.906
VSAT,995,5,0.25,0.04755688259549204,0.9467545071528133,0.8991976245573212,0.9389332086239148,0.32672189276116537,0.929
MXL,833,4,2.0,0.8784185011604898,1.736081030750883,0.8576625295903931,1.0087154810909014,0.3291089624716539,0.909
KRYS,449,4,2.0,1.8956271975280052,2.7416192466150946,0.8459920490870894,0.185412944385708,0.1071973097286355,0.798
MIRM,355,4,2.0,0.7301708692642259,1.556656026341946,0.8264851570777201,0.4130708818921941,0.21115394732329007,0.697
CNR,444,4,2.0,0.34934210674324495,1.1348558327741045,0.7855137260308596,0.3794626030755566,0.17673703264618695,0.865
HCC,491,4,2.0,0.9421942688106616,1.7236687602523195,0.7814744914416579,0.34965266073151924,0.12379628477293286,0.737
SSRM,453,4,0.25,1.1025184894674158,1.882930092965542,0.7804116034981261,0.3837206048109258,0.2035206018225596,0.819
EBC,292,3,8.0,0.7738736605554194,1.530344656653103,0.7564709960976835,0.16920809734307446,0.1284758195529081,0.808
EAT,995,5,4.0,-0.3261095175412908,0.42636641836666983,0.7524759359079607,1.2613505918925998,0.6416192453672818,0.869
LGND,815,4,1.0,1.1810006802629633,1.8956483018514088,0.7146476215884454,0.32336376408609424,0.12574965865881083,0.796
ROAD,422,4,2.0,-0.3701060614311358,0.31817045506055225,0.688276516491688,0.40377055146458285,0.2248086206799612,0.838
CNX,995,5,0.5,0.31888048026792837,0.9755629774957321,0.6566824972278037,0.4705109430301845,0.24402208579468007,0.787
VRNS,631,4,8.0,0.13965374015761478,0.7892302488463008,0.649576508688686,1.1281223652813002,0.3747742595266998,0.7
UEC,995,5,4.0,0.7697828736739871,1.4180161234254602,0.6482332497514731,0.7704803839631154,0.3512647416759121,0.843
FROG,309,4,0.25,0.8248074234592342,1.4432798588595868,0.6184724354003526,0.5460909240128088,0.16563522552545207,0.586
SNEX,308,4,4.0,1.234224019874076,1.844984538293034,0.6107605184189582,0.3560593698965176,0.22010831396147448,0.632
PLXS,995,5,4.0,0.23449538262330072,0.8388949612874865,0.6043995786641858,0.31034468612598876,0.22675428053416957,0.868
VLY,995,5,8.0,-0.3277274804494213,0.2756230671409415,0.6033505475903628,0.8285851514550495,0.27016653395751394,0.8
AXTI,995,5,1.0,-0.7820154865259016,-0.18889775864852268,0.5931177278773789,1.769329820185398,0.6604382809115383,0.85
LNTH,565,4,0.25,0.3575879429845406,0.9418406494583815,0.584252706473841,0.512975134982924,0.3103806766446475,0.65
AROC,541,4,16.0,0.6281604851561872,1.1963011567740751,0.568140671617888,0.3122157783200641,0.16099032152769782,0.656
CMC,995,5,2.0,0.8601537712850325,1.4007176462548145,0.5405638749697821,0.3499388498825879,0.20340187393164733,0.829
PCVX,309,4,8.0,0.9779283583196039,1.5099172524878353,0.5319888941682314,0.32835430900705403,0.2566375268593183,0.72
CECO,995,5,4.0,0.5188991917445854,1.0440309246160127,0.5251317328714272,0.7048432203231361,0.3920469761026743,0.716
ONB,995,5,8.0,-0.13779828756003784,0.3837954621126158,0.5215937496726536,0.5563990102762544,0.2693166187195863,0.788
CRC,290,3,8.0,0.30401324300849725,0.8135407304728721,0.5095274874643749,0.331948050156634,0.21077966158814126,0.681
OII,995,5,2.0,0.32892209810160633,0.8356550697546709,0.5067329716530645,0.9102450965326445,0.4459041925486258,0.777
GBCI,995,5,8.0,-0.6365691968169449,-0.13771811131915587,0.498851085497789,0.8987758440355997,0.45763082234441016,0.744
RUSHA,995,5,8.0,0.49453245057395595,0.9866072512299557,0.4920748006559998,0.3303174546963463,0.1765002537443307,0.829
FBP,995,5,8.0,0.24510780671503915,0.7248094711507589,0.4797016644357197,0.4060754224389791,0.2293911372878194,0.786
TGTX,684,4,1.0,0.6598551912658119,1.1213696830352433,0.4615144917694314,0.5509647913563357,0.38689204410004757,0.683
ZETA,278,3,2.0,1.243479170025742,1.7031495190185233,0.45967034899278136,0.3409265869705932,0.17809568075197274,0.814
PJT,569,4,16.0,0.4345126627914223,0.8872012120880606,0.45268854929663827,0.43215276039313866,0.2781768713916303,0.711
CRSP,492,4,1.0,-0.038251049458357604,0.4026430109811129,0.4408940604394705,0.5490919313980374,0.2685541291183944,0.713
DK,995,5,2.0,0.34846438786128825,0.7656159890810808,0.4171516012197925,1.0613043931244337,0.5719701485182367,0.696
AX,995,5,2.0,0.6467906328994901,1.0597027276734339,0.41291209477394375,0.42720939237249345,0.263395818038413,0.737
HP,995,5,4.0,0.32659365736530294,0.7333528608576256,0.4067592034923227,0.49500565664350055,0.38853349945265436,0.665
SKY,995,5,4.0,0.7204301003803326,1.1219636418242445,0.40153354144391185,0.669071943685161,0.42809198629088163,0.694
CBT,995,5,4.0,0.432385766982827,0.8067158435228821,0.37433007654005507,0.29858685505108995,0.21725069705511046,0.768
RDNT,985,5,0.25,0.34484373435678956,0.7173908668806315,0.3725471325238419,0.6289420096678648,0.49754367691166346,0.661
CVLT,995,5,4.0,0.42182769298408135,0.7870991899708811,0.3652714969867998,0.9561462096739323,0.37784189115917594,0.678
ITRI,995,5,8.0,-0.19090971123928713,0.16546084106830056,0.3563705523075877,1.0580496794062502,0.507837952535803,0.759
CWST,995,5,16.0,0.531364861642308,0.8856727287432445,0.35430786710093654,0.3280965033149895,0.21022513054364103,0.729
GATX,530,4,16.0,0.41024051274484147,0.7643280328155163,0.35408752007067484,0.199078021424509,0.16285283531585168,0.683
CVCO,995,5,8.0,0.43639857433887186,0.7894737013861954,0.3530751270473236,0.5698207446203759,0.2670562638835041,0.708
WHD,449,4,2.0,1.311594832169148,1.66098760890867,0.34939277673952196,0.26813308454849355,0.1771949631983814,0.717
IDCC,967,5,0.25,1.1865202795920045,1.53162350128042,0.34510322168841556,0.459639388005737,0.24806541826527329,0.633
CAKE,995,5,2.0,-0.11137955379388878,0.22338778630187167,0.3347673400957605,0.8942831726570906,0.47137555473861514,0.639
UNF,995,5,4.0,-0.4562068974807384,-0.12233938634376289,0.3338675111369755,0.5025059472588099,0.3474636568951411,0.674
ASB,995,5,8.0,0.09253555968523812,0.42455002374449075,0.3320144640592526,0.390409815057315,0.29141159144245354,0.666
VSH,995,5,0.5,-0.027490515093707625,0.2966028112898029,0.32409332638351057,0.4124095804609763,0.2867545762667829,0.758
ENVA,590,4,8.0,1.7054390895722973,2.023442024607812,0.3180029350355147,0.2842650477271829,0.21037857954365125,0.595
RYTM,449,4,2.0,0.11425348844518572,0.430144626467891,0.31589113802270524,0.4283154500796351,0.1829002668403768,0.692
MGY,425,4,4.0,0.5273069134515773,0.829121125324757,0.3018142118731797,0.3209491734347199,0.21264769609830478,0.642
TDW,453,4,4.0,0.8873534853220001,1.177660954592162,0.2903074692701618,0.3431943953850603,0.23804570556631618,0.655
ANF,995,5,1.0,0.2145080443553971,0.4990929208409252,0.2845848764855281,1.208148175736417,0.6519576396502494,0.613
TEX,995,5,2.0,0.4529108025524609,0.7259271946546213,0.2730163921021604,0.7049472630189543,0.4471109532171032,0.65
URBN,995,5,8.0,-0.007490983270563837,0.2558559157968847,0.26334689906744857,0.7959048422344003,0.5914695846954411,0.707
ESE,995,5,16.0,-0.2649747224680111,-0.002836633393526564,0.26213808907448455,0.6201840282221573,0.3912880952305088,0.661
KFY,995,5,2.0,0.13861791990123878,0.39237635370992235,0.25375843380868357,0.5963528028229609,0.4604946904713288,0.64
HQY,604,4,8.0,0.21261956012978078,0.45473867036625587,0.2421191102364751,0.43405579505378983,0.2825338585496943,0.647
MRCY,995,5,8.0,-0.7544581126651442,-0.5209194518286802,0.23353866083646402,0.919617477559139,0.385725533311954,0.605
LUMN,303,4,8.0,-0.5007366087654187,-0.27102139848451656,0.22971521028090214,0.6564540261488996,0.28483053301609546,0.661
HWC,413,4,1.0,0.6255078859952432,0.8470955079668864,0.22158762197164317,0.20784473310706303,0.17724057922985645,0.693
GLNG,995,5,4.0,0.5200373158804787,0.7396899640165191,0.21965264813604035,0.3857019472260712,0.4135917348134943,0.571
UFPI,995,5,4.0,0.45608592232288575,0.674813350137785,0.21872742781489923,0.38810033069465394,0.23892654650304346,0.633
KYMR,299,4,4.0,1.6564926284087422,1.8751073583429163,0.21861472993417408,0.26760846909680963,0.24476587155552504,0.691
SFBS,634,4,4.0,0.05171358901873779,0.2650106911811973,0.2132971021624595,0.2753573192205332,0.20293720402979745,0.551
GVA,995,5,8.0,0.10858319747480712,0.31451674112009004,0.20593354364528293,0.5182028350605307,0.4312337388043843,0.639
PI,515,4,8.0,0.43894648535020864,0.6412635754091347,0.20231709005892606,0.9753202042615416,0.6741729862629104,0.539
FTDR,395,4,8.0,0.5095350062924139,0.7101420431375066,0.20060703684509273,0.35659246631074204,0.3222454398270093,0.599
NPO,995,5,4.0,0.2204833433358337,0.4169340977273058,0.19645075439147208,0.41789350469463593,0.3124985483598368,0.605
DIOD,995,5,0.5,0.13908169337361376,0.33304450187041673,0.19396280849680297,0.6138707145089244,0.3009412500503287,0.606
HRI,530,4,4.0,0.016330473815330888,0.20678728036781557,0.19045680655248468,0.6758506355070466,0.5165698587634521,0.574
TRNO,852,4,0.5,0.05530818868697577,0.24140176835245133,0.18609357966547557,0.29148491453653674,0.19463418163650156,0.604
CATY,995,5,4.0,-0.08180887394247809,0.10067274556828233,0.18248161951076042,0.5516362059529374,0.4786459790795782,0.653
AIR,995,5,4.0,0.47076429878068343,0.6487711945074289,0.1780068957267455,0.41012490447203226,0.3543245795784855,0.592
VSEC,995,5,16.0,0.30394148554427103,0.48063379037912735,0.17669230483485632,0.6529601086916113,0.4783721799631057,0.629
PTCT,664,4,0.5,0.45245977422127254,0.6273587479605269,0.1748989737392544,0.4644906191551989,0.2450435616030369,0.577
WSFS,995,5,4.0,-0.20478607213800534,-0.030320285269968692,0.17446578686803665,0.6539264674066653,0.374866595697235,0.649
NSIT,995,5,8.0,0.8264682019690711,0.9988535062693474,0.17238530430027632,0.2967121632057059,0.2217703144437538,0.59
CYTK,995,5,2.0,0.5026214568760214,0.6679792133380559,0.16535775646203443,0.7436404596664411,0.44695436534721755,0.641
MTH,995,5,0.5,0.4472381233469286,0.6067112626193972,0.15947313927246864,0.6307410312629265,0.3572920180464657,0.591
PRM,256,3,8.0,0.8864707484946245,1.0422882824870832,0.15581753399245868,0.21564006057031201,0.13740572700193787,0.621
RHP,696,4,1.0,0.3114520230598576,0.4614620033087322,0.15000998024887463,0.3011608933830315,0.20492479550625586,0.57
FFIN,995,5,16.0,-0.33960350081044355,-0.19770302205675225,0.1419004787536913,0.7548040664523507,0.5065478555205423,0.582
NOVT,779,4,0.5,-0.1865304186644583,-0.04843670646867581,0.13809371219578248,0.6169086960810364,0.4413880059585302,0.575
PIPR,353,4,2.0,-0.5986788447253341,-0.4654300582204918,0.13324878650484223,0.3007448735609018,0.24038413220108254,0.6
RIOT,471,4,0.25,0.4906893355291859,0.622982598911969,0.13229326338278313,0.6797531587633799,0.5116436766811853,0.558
MUR,995,5,0.25,0.8566397648178151,0.9869074131766726,0.1302676483588575,0.5256047611925797,0.29941406937071713,0.558
IBP,651,4,4.0,0.40907772280126664,0.5341851409531019,0.12510741815183524,0.5648664818227394,0.4385337672976284,0.526
ORA,995,5,16.0,0.16043792064528054,0.27978059578593106,0.11934267514065053,0.5367202861816905,0.38502459496840263,0.575
NWE,921,5,8.0,0.5483144524674766,0.6646527598682523,0.11633830740077578,0.15807995796714733,0.12960687848872798,0.631
SM,995,5,4.0,0.9546643803224382,1.062324269584608,0.10765988926216985,0.7649533632218555,0.5555901306708827,0.542
BOX,608,4,8.0,0.33010407523673163,0.43633506344207296,0.10623098820534133,0.5818540540379789,0.552920499006108,0.55
ENS,995,5,8.0,0.3610396478805663,0.467209882749248,0.10617023486868171,0.36150002275827586,0.3015766622495232,0.526
